,comment,likes,label,score
0,I keep watching this over and over. This is just too beautiful.,32,positive,0.9822483062744141
1,Best commercial to come out of the Olympics this year!!! ️️,13,positive,0.9867571592330933
2,We need more of this right now ,4,positive,0.5226125121116638
3,This is a beautiful video and I really don't understand how some people don't see the bigger picture..honestly some people need to grow up and move on with their lives..because hating something won't make anything better.,8,negative,0.4099372327327728
4,"I don't know if this is a good sign for this commercial or not, but whenever it comes on, the only thing I can think about is how much I miss Maya Angelou.",2,negative,0.5288463830947876
5,"My goodness, with everything happening in America currently and the world around us- this needs to be played more often. “We are more alike my friends than unalike” we have more in comment than what decides us,. Learn  to speak to another human being instead always watching the news to educate you on both sides, you will discover that we do have more in comment. Blessings to all!",2,positive,0.5340039134025574
6,Could not agree more with Peter MacDonough 'Best commercial to come out of the Olympics this year!!! ' It illustrates our common humanity in our diversity,1,positive,0.9824936985969543
7,This is what makes apple such a successful company. They’re ability to advertise.,2,positive,0.8948976993560791
8,This is an awesome ad the whole world should take notice of !!!,39,positive,0.9872855544090271
9,i read the comment section and one of the people said this wasnt gonna convince them to buy an iphone...i didnt even realise this was for a iphone i thought it was one of those amazing videos,12,negative,0.4346161186695099
10,Long live queen maya,2,positive,0.9351924657821655
11,This is the most beautiful thing I have ever seen,4,positive,0.9771584272384644
12,"Lmfao it's pretty ironic how much hate it in the comments. I get it's an ad and they want you to buy their product, but the poem is beautiful and its sad that people completely missed the message bc they're so used to being fueled by hate smh.",9,negative,0.8936363458633423
13,that's some deep shit right there bro lmao,2,negative,0.8073856830596924
14,Not a fan of Apple. But I like this ad,15,neutral,0.4651343524456024
15,Bars,4,neutral,0.5984655618667603
16,"The narrator has such a hilarious voice, but it works so well with the poem",3,positive,0.9581829309463501
17,love you and miss you Mother Maya!! long live Maya Angelou!!,3,positive,0.9790178537368774
18,"As a black person myself, I ask this! If we were really more alike than unalike, then where are our hospitals? Where are our gas stations? Where are our supermarkets? Where are our industrial trade unions? Where are our distribution networks? Where are our banks and credit unions? Where are our business loans? Where are our private and independent residential schools and school boards? Where are our own police departments? Where is our economic base? Stop making racism so damn emotional because it's not! Prejudice is emotional, attitudes are emotional, but true racism is a POWER relationship! ",2,neutral,0.659670352935791
19,Commercial shouldve won an award,1,positive,0.5600021481513977
20,"I saw this on the tv the other day, I've never watched an advert more beautiful",32,positive,0.9803898930549622
21,I really like this commercial,1,positive,0.978320837020874
22,So much hate and anger in these comments. It's insane. Just watch the ad. Let your mind wander. And chill tf out.,88,negative,0.9126508831977844
23,"I saw this commercial when I was high as shit 
It was an experience",31,positive,0.5687612891197205
24,"RIP maya angelou 
I miss you so much",26,negative,0.4260750412940979
25,“We are more alike my friends than we are Un-alike”,2,neutral,0.5214594602584839
26,"Don't have an Apple not going to get an Apple can't afford an Apple and don't really like Apple but, love this video and the meaning it gives me.",1,negative,0.4815238118171692
27,this is so cute!,1,positive,0.9789772033691406
28,Powerful,4,positive,0.7304397821426392
