,comment,likes,label,score
0,"I actually like this ad. It reminds me of simpler times, when people didn't want the latest mobile phone, 75 inch TV, etc; just a nice home with nice curtains. Most of us have lost our true value of happiness for material stuff!",5,positive,0.8115499019622803
1,"What a brilliant advert with Emma and Emily , more of the same please 󠁧󠁢󠁥󠁮󠁧󠁿󠁧󠁢󠁥󠁮󠁧󠁿󠁧󠁢󠁥󠁮󠁧󠁿󠁧󠁢󠁥󠁮󠁧󠁿️️",3,positive,0.9698686003684998
2,"Brilliant. Just. Brilliant  Emma and Emily are so natural , let’s have more of the same please .󠁧󠁢󠁥󠁮󠁧󠁿󠁧󠁢󠁥󠁮󠁧󠁿󠁧󠁢󠁥󠁮󠁧󠁿󠁧󠁢󠁥󠁮󠁧󠁿️️",3,positive,0.9702292680740356
3,l really like this advert so much. real people. ordinary girls. great,1,positive,0.9855689406394958
4,"I just want to know where the shop is?, anyone know?",1,neutral,0.7382786273956299
5,"Nationwide produces the most annoying, irritating and patronising ads ever. All from the most arrogant and hopeless bank",6,negative,0.9499527215957642
6,Dreadful advert.....,8,negative,0.9245213270187378
7,This is so irritating!,7,negative,0.9114190340042114
8,"You've done it again, Nationwide. You've created yet another awful ad.",15,negative,0.9408382773399353
9,I find their voices so annoying ,8,negative,0.9291629791259766
10,Horrifying,7,negative,0.7800549268722534
